#,,,This the actual injection volume on the column,,,,Relic from BMIS for pooled full and half,A dilution factor of 2 is a 1 to 1 dilution of sample to water
Sample.Name,Notes,Column,uLonColumn,Fraction,Sample.Group,Treatment.Group,Inj.vol,Dilution.Factor
190715_Blk_Blk_17,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D300_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D80_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_18,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D115_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U12_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_19,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D200_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D200_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_20,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D125_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D75_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_21,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D115_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D70_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_22,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D200_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D200_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_23,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D40_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D500_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_24,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D1000_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D125_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_25,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D400_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D40_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_26,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U13_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906U13_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_27,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D500_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D70_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_28,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D200_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D1000_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_29,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D125_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D400_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_30,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D400_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D200_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_31,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D1000_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D300_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_32,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S5C3D80_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S6C3D75_B,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_33,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Smp_KM1906S4C27D70_A,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Blk_Blk_34,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
190715_Poo_QC-KM1906_C,,ZIC pHILIC_85 to 15_ACN,2,HILIC,,1,1,2
