"Metabolite.Name","Column","Means","Std.Devs"
"Guanine","HILICNeg",22360670.2333333,14820992.7634051
"Guanine","HILICPos",195934755.05,132911289.50485
"Inosine","HILICNeg",2142711.83185841,2457806.94762236
"Inosine","HILICPos",1967525.25833333,1833674.3505342
NA,"HILICNeg",65151.1578947368,24036.9649808889
NA,"HILICPos",7882050.75,5324095.81074218
